StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,initials,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
7/18/22 21:45,7/18/22 21:48,IP Address,68.50.200.69,100,200,TRUE,7/18/22 21:48,R_TjfUsfIXwzYqjh7,,,,,40.4444,-86.9256,anonymous,EN,MF,25,man,,A few times a month,nondenominational ,100,Once a week,67,57,41,46,68,29,82,79,58,70,44,57,73,think,1
7/19/22 21:28,7/19/22 21:30,IP Address,154.6.21.31,100,122,TRUE,7/19/22 21:30,R_2z61K6xrZNI8w4U,,,,,41.8874,-87.6318,anonymous,EN,JB,52,man,,A few times a year,Anglican,100,Multiple times a week,100,47,100,48,49,50,50,18,47,46,47,26,13,think,1
7/20/22 23:39,7/20/22 23:43,IP Address,76.28.200.109,100,224,TRUE,7/20/22 23:43,R_1mt4NVev83yUcR0,,,,,48.3108,-122.6322,anonymous,EN,ST,23,woman,,Once a week,Liturgical Baptist,91,Multiple times a week,91,77,83,42,47,29,66,33,38,46,29,15,18,think,1
7/21/22 0:04,7/21/22 0:07,IP Address,136.52.124.68,100,146,TRUE,7/21/22 0:07,R_po54p3B2KMTakmZ,,,,,33.672,-117.7402,anonymous,EN,PS,24,man,,A few times a month,Anglican Catholic,100,Daily,85,0,58,20,29,71,18,28,0,5,1,48,27,think,1
7/22/22 18:08,7/22/22 18:10,IP Address,72.194.112.119,100,101,TRUE,7/22/22 18:10,R_zT1WjyH96M1k9Vv,,,,,33.5157,-117.7109,anonymous,EN,SR,23,woman,,Once a week,nondenominational ,84,Multiple times a week,67,95,74,23,36,50,34,49,11,19,23,86,11,think,1
7/26/22 2:48,7/26/22 2:52,IP Address,69.176.45.223,100,243,TRUE,7/26/22 2:52,R_24hLgIkJO1TkJU5,,,,,37.5197,-82.5228,anonymous,EN,KC,19,woman,,More than once a week,nondenominational ,100,Multiple times a day,100,100,57,57,55,23,58,53,13,36,58,42,48,think,1
7/26/22 18:03,7/26/22 18:06,IP Address,68.106.239.18,100,166,TRUE,7/26/22 18:06,R_3qHCPCWWmZzIGaJ,,,,,33.3504,-111.782,anonymous,EN,ES,26,woman,,Once a week,nondenominational ,100,Multiple times a day,96,99,88,76,68,91,76,75,91,65,81,52,40,think,1
7/27/22 22:50,7/27/22 22:52,IP Address,99.112.102.254,100,130,TRUE,7/27/22 22:52,R_3njBhoo23d7Vlf2,,,,,41.9703,-87.664,anonymous,EN,SJS,35,woman,,A few times a year,sometimes i say the world is my church and that about sums it up,100,Multiple times a day,100,100,43,54,100,100,60,100,68,100,100,100,100,think,1
7/28/22 1:44,7/28/22 1:45,IP Address,74.64.154.71,100,80,TRUE,7/28/22 1:45,R_1hBfcDR6LaaV47x,,,,,40.782,-73.9953,anonymous,EN,PA,30,man,,Once a month,Episcopal,100,Multiple times a week,70,52,99,82,93,69,53,95,67,100,100,100,74,think,1
7/28/22 22:08,7/28/22 22:11,IP Address,71.227.220.117,100,173,TRUE,7/28/22 22:11,R_1qWDJYUInNf42ZD,,,,,48.799,-122.4499,anonymous,EN,JV,25,woman,,Once a week,Episcopal,76,Once a week,49,64,67,67,57,49,29,36,17,17,17,17,16,think,1
7/29/22 0:04,7/29/22 0:08,IP Address,63.231.61.156,100,185,TRUE,7/29/22 0:08,R_10UkZjLN8vecknN,,,,,47.54,-122.3032,anonymous,EN,KB,51,woman,,More than once a week,Presbyterian,98,Multiple times a day,98,53,20,26,20,80,38,36,25,14,30,9,21,think,1
7/29/22 0:35,7/29/22 0:38,IP Address,76.135.238.224,100,183,TRUE,7/29/22 0:38,R_12uwauxo7nUdw3i,,,,,48.799,-122.4499,anonymous,EN,LP,60,woman,,More than once a week,Episcopal ,0,Multiple times a day,0,94,50,51,72,99,50,50,2,52,84,66,49,think,1
8/1/22 23:38,8/1/22 23:41,IP Address,73.83.36.84,100,179,TRUE,8/1/22 23:41,R_2WTE3IRQt0WL389,,,,,48.6914,-122.4133,anonymous,EN,TT,28,man,,Once a week,Episcopal,99,Daily,70,59,95,63,60,64,57,61,77,77,66,58,63,think,1
8/2/22 18:09,8/2/22 18:11,IP Address,166.194.154.32,100,114,TRUE,8/2/22 18:11,R_2YFiWAjMEASa50b,,,,,39.8704,-86.2166,anonymous,EN,JAT,24,woman,,Once a month,nondenominational ,59,Multiple times a week,55,30,63,35,37,58,42,61,68,73,65,78,32,think,1
8/2/22 19:08,8/2/22 19:12,IP Address,216.249.90.86,100,200,TRUE,8/2/22 19:12,R_2Qgl8w3qd5pQFLh,,,,,39.1215,-86.5784,anonymous,EN,EE,42,woman,,Once a week,Episcopal,100,Multiple times a week,85,38,79,51,38,41,32,57,58,67,46,83,67,think,1
8/4/22 1:35,8/4/22 1:38,IP Address,67.185.217.148,100,149,TRUE,8/4/22 1:38,R_30eqHoBmewd2LfW,,,,,48.7494,-122.4896,anonymous,EN,JS,68,man,,A few times a month,Episcopal,93,Multiple times a day,64,65,73,65,69,89,79,69,43,43,44,75,77,think,1
8/5/22 20:40,8/5/22 20:42,IP Address,24.193.118.50,100,177,TRUE,8/5/22 20:43,R_33prV3BvgjLAzxR,,,,,40.6643,-73.9763,anonymous,EN,PY,27,man,,Once a week,nondenominational ,100,Daily,96,15,71,50,73,63,39,63,64,66,80,49,48,think,1
8/5/22 22:08,8/5/22 22:12,IP Address,174.20.179.217,100,220,TRUE,8/5/22 22:12,R_2bW7axxMiMNsyIh,,,,,44.9985,-93.3029,anonymous,EN,KS,47,man,,Once a week,Catholic,96,Multiple times a day,21,7,37,0,6,6,12,1,0,0,23,0,0,think,1
8/8/22 22:06,8/8/22 22:10,IP Address,172.58.79.189,100,199,TRUE,8/8/22 22:10,R_AAM9Cer2af1F6Nz,,,,,36.1682,-115.2166,anonymous,EN,MC,31,woman,,Once a week,nondenominational ,100,Multiple times a day,89,69,81,14,71,73,83,84,83,86,88,86,85,think,1
8/8/22 22:44,8/8/22 22:47,IP Address,73.254.20.142,100,146,TRUE,8/8/22 22:47,R_2ZZJgVLaWQ0GzJh,,,,,48.7494,-122.4896,anonymous,EN,NL,44,woman,,More than once a week,Presbyterian,92,Daily,72,43,67,19,19,16,14,13,57,7,60,5,59,think,1
8/9/22 21:09,8/9/22 21:12,IP Address,76.121.44.221,100,165,TRUE,8/9/22 21:12,R_3rULAwFWq1XJBo6,,,,,48.7494,-122.4896,anonymous,EN,MB,20,woman,,Once a week,Episcopal,100,Daily,96,98,82,25,6,0,59,83,39,91,91,53,30,think,1
8/9/22 22:05,8/9/22 22:07,IP Address,97.113.26.125,100,123,TRUE,8/9/22 22:07,R_3sJ9jHo6tHdpnlD,,,,,47.6901,-122.3747,anonymous,EN,BF,22,non-binary,,Once a week,Episcopal,100,Multiple times a day,93,97,100,70,24,75,92,97,71,48,90,20,29,think,1
8/11/22 22:10,8/11/22 22:14,IP Address,70.175.124.29,100,249,TRUE,8/11/22 22:14,R_2z76VeggZ8OSebK,,,,,33.2727,-111.8278,anonymous,EN,IDH,26,woman,,Once a week,Non denominational / Baptist?,100,Daily,63,77,22,25,0,50,46,61,12,13,17,73,21,think,1
8/11/22 22:37,8/11/22 22:42,IP Address,172.92.254.142,100,296,TRUE,8/11/22 22:42,R_28CXc6YzqkfiiY7,,,,,48.2011,-122.378,anonymous,EN,LC,74,man,,More than once a week,Episcopal,100,Daily,100,87,100,14,19,95,23,23,17,0,47,5,5,think,1
8/13/22 1:27,8/13/22 1:30,IP Address,73.217.91.186,100,164,TRUE,8/13/22 1:30,R_DM2dsEAC30wo9yx,,,,,39.5972,-105.001,anonymous,EN,MKS,28,woman,,Once a month,nondenominational ,100,Daily,59,49,11,10,10,11,10,1,1,1,1,1,1,think,1
8/13/22 1:42,8/13/22 1:45,IP Address,199.88.191.99,100,181,TRUE,8/13/22 1:45,R_2amLuouCYR5zJDP,,,,,35.1661,-120.4651,anonymous,EN,ET,23,woman,,Once a week,nondenominational ,100,Multiple times a day,100,41,24,12,12,33,20,19,60,51,62,9,9,think,1
8/15/22 18:03,8/15/22 18:06,IP Address,75.121.25.221,100,225,TRUE,8/15/22 18:06,R_2YsUMSvHDc7RI7M,,,,,34.9007,-94.0794,anonymous,EN,RM,48,woman,,Once a week,nondenominational ,100,Multiple times a day,100,83,51,17,13,16,7,4,0,6,5,4,5,think,1
8/15/22 21:22,8/15/22 21:26,IP Address,73.97.205.175,100,210,TRUE,8/15/22 21:26,R_3Hjhkp4pmZeGbvW,,,,,48.7494,-122.4896,anonymous,EN,LRP,64,woman,,Once a week,Episcopal,100,Multiple times a day,91,65,100,47,49,94,44,52,0,45,49,57,0,think,1
8/17/22 0:47,8/17/22 0:54,IP Address,173.14.245.141,100,415,TRUE,8/17/22 0:54,R_9TvUGNkeNCPXzxv,,,,,47.9005,-122.2472,anonymous,EN,DL,43,woman,,More than once a week,Episcopal,91,A few times a month,73,0,78,51,78,79,70,57,12,11,62,51,64,think,1
8/20/22 22:39,8/20/22 22:45,IP Address,99.248.181.1,100,373,TRUE,8/20/22 22:45,R_soLDKXds4IYhQJj,,,,,43.9724,-78.708,anonymous,EN,MVM,73,woman,,More than once a week,Anglican,100,Multiple times a day,100,100,1,2,4,99,16,4,1,4,5,3,1,think,1
8/22/22 22:49,8/22/22 22:53,IP Address,172.93.132.114,100,219,TRUE,8/22/22 22:53,R_TotsGG6jZiBkel3,,,,,42.0048,-87.9954,anonymous,EN,SLG,36,woman,,More than once a week,Disciples of Christ--liberal protestant,100,Multiple times a day,100,81,100,0,0,0,0,39,0,0,0,0,0,think,1
8/23/22 19:41,8/23/22 19:44,IP Address,129.79.197.178,100,164,TRUE,8/23/22 19:44,R_elLH6ffNgWbiPCx,,,,,39.1707,-86.519,anonymous,EN,RME,43,man,,More than once a week,Episcopal and African Methodist Episcopal ,100,Multiple times a week,70,2,3,4,4,6,26,33,0,35,36,5,4,think,1
8/23/22 21:11,8/23/22 21:15,IP Address,76.135.253.22,100,226,TRUE,8/23/22 21:15,R_33viBsRJs7mUh4P,,,,,48.7494,-122.4896,anonymous,EN,RH,24,man,,A few times a month,Episcopal,62,Once a month,9,35,57,59,35,25,55,43,21,39,54,52,66,think,1
8/26/22 19:32,8/26/22 19:35,IP Address,172.58.87.71,100,197,TRUE,8/26/22 19:35,R_3R899QViQgnBoPx,,,,,44.9834,-93.2622,anonymous,EN,KW,32,woman,,On special occasions (like Christmas & Easter),Catholic (most often),30,Multiple times a week,53,55,8,1,1,1,3,4,25,25,25,11,1,think,1
8/29/22 18:05,8/29/22 18:08,IP Address,75.15.15.57,100,153,TRUE,8/29/22 18:08,R_22MpOD5FMtu8oqo,,,,,39.1397,-86.5141,anonymous,EN,VK,76,woman,,More than once a week,Episcopal,100,Daily,100,56,100,80,99,100,100,100,100,97,100,100,0,think,1
8/29/22 18:35,8/29/22 18:39,IP Address,76.135.173.112,100,244,TRUE,8/29/22 18:39,R_262WaqDhm3CUbRX,,,,,48.6914,-122.4133,anonymous,EN,BL,77,woman,,More than once a week,Lutheran,95,Daily,48,100,53,98,39,42,33,26,70,60,67,20,15,think,1
8/30/22 1:39,8/30/22 1:44,IP Address,73.35.167.60,100,260,TRUE,8/30/22 1:44,R_1F3y7xZCVwRQBCo,,,,,48.7494,-122.4896,anonymous,EN,EGS,65,man,,More than once a week,Episcopal,0,Multiple times a day,100,84,41,45,14,80,31,100,18,1,23,80,1,think,1
8/30/22 22:08,8/30/22 22:45,IP Address,172.56.105.194,100,2225,TRUE,8/30/22 22:45,R_1hNlI2Tw2zMg0UR,,,,,47.5364,-122.278,anonymous,EN,SA,95,woman,,Once a week,Lutheran,100,Multiple times a day,100,46,45,46,32,66,45,0,0,1,29,100,0,think,1
8/31/22 21:06,8/31/22 21:11,IP Address,75.15.14.215,100,274,TRUE,8/31/22 21:11,R_3M6vukRaGdJM4r6,,,,,39.1397,-86.5141,anonymous,EN,NH,75,woman,,More than once a week,Episcopal,100,Daily,91,66,73,11,51,76,58,12,66,71,48,69,11,think,1
8/31/22 22:03,8/31/22 22:06,IP Address,73.11.227.242,100,163,TRUE,8/31/22 22:06,R_279cCDE3V5GrC7y,,,,,48.7494,-122.4896,anonymous,EN,JL,48,man,,More than once a week,Lutheran (ELCA),100,Multiple times a week,81,32,59,8,7,55,50,52,6,4,6,5,2,think,1
8/31/22 23:06,8/31/22 23:07,IP Address,68.55.134.208,100,77,TRUE,8/31/22 23:07,R_u8L98QTGwT43pbH,,,,,42.518,-83.1576,anonymous,EN,KAW,30,woman,,Once a month,catholic,81,Multiple times a week,80,58,78,86,70,93,90,54,86,57,92,58,75,think,1
9/1/22 21:05,9/1/22 21:07,IP Address,107.133.20.93,100,142,TRUE,9/1/22 21:07,R_2YQdL0Bh3gg0IXH,,,,,38.5943,-90.2321,anonymous,EN,VLS,74,woman,,A few times a year,Episcopal,98,Multiple times a day,89,65,43,45,69,45,45,35,34,47,55,50,30,think,1
9/3/22 21:23,9/3/22 21:25,IP Address,76.121.147.109,100,128,TRUE,9/3/22 21:25,R_3EnchLOA4JCnfYx,,,,,48.7494,-122.4896,anonymous,EN,EM,23,woman,,Once a week,Baptist,100,Multiple times a day,100,100,87,27,19,75,61,69,19,51,42,93,56,think,1
9/3/22 22:12,9/3/22 22:16,IP Address,24.17.154.45,100,227,TRUE,9/3/22 22:16,R_2tEI8hM9UO8uByA,,,,,48.799,-122.4499,anonymous,EN,KA,73,woman,,More than once a week,Episcopal,100,Multiple times a day,100,100,100,100,99,100,100,100,2,100,100,100,47,think,1
9/5/22 18:18,9/5/22 18:21,IP Address,73.225.157.14,100,210,TRUE,9/5/22 18:21,R_3gLC1ggwnF46Pvg,,,,,48.799,-122.4499,anonymous,EN,TS,70,man,,Once a week,christian,100,Daily,100,100,100,47,47,100,48,0,0,0,0,47,0,think,1
9/6/22 19:08,9/6/22 19:12,IP Address,216.249.90.86,100,227,TRUE,9/6/22 19:12,R_1N9wkgkn4671oZP,,,,,39.1397,-86.5141,anonymous,EN,MTS,53,man,,More than once a week,Episcopal,100,Multiple times a day,100,73,6,3,3,4,1,3,3,5,4,2,2,think,1
9/6/22 20:36,9/6/22 20:38,IP Address,68.51.13.197,100,136,TRUE,9/6/22 20:38,R_29mP7Crbmarp8LK,,,,,40.4566,-85.3733,anonymous,EN,CL,30,woman,,Once a week,nondenominational ,100,Multiple times a day,100,100,57,83,74,68,72,100,77,75,100,87,100,think,1
9/6/22 21:07,9/6/22 21:10,IP Address,190.104.116.242,100,197,TRUE,9/6/22 21:10,R_3fBspBio23rJqnE,,,,,14.6343,-90.5155,anonymous,EN,AA,30,woman,,Once a week,Evangelical church. Reformed baptist denomination.,100,Multiple times a day,100,100,77,30,28,28,59,40,82,83,85,40,59,think,1
9/7/22 22:36,9/7/22 22:39,IP Address,99.137.49.245,100,177,TRUE,9/7/22 22:39,R_1lgg6wmPhd0FY1o,,,,,39.1397,-86.5141,anonymous,EN,JMB,28,man,,Once a week,Episcopal,100,Once a month,12,2,71,49,61,89,83,60,92,92,91,52,54,think,1
9/8/22 22:04,9/8/22 22:07,IP Address,67.170.3.202,100,139,TRUE,9/8/22 22:07,R_3hinj6R3Or7ZYK4,,,,,48.7494,-122.4896,anonymous,EN,KFC,74,woman,,Once a week,Episcopal,98,Multiple times a day,96,52,98,50,52,50,51,55,78,81,82,50,51,think,1